iter	Passed	Remaining
0	58	58259
1	58	29283
2	59	19646
3	59	14794
4	59	11901
5	60	9963
6	60	8574
7	60	7528
8	61	6724
9	61	6078
10	61	5556
11	62	5118
12	62	4746
13	62	4430
14	63	4155
15	63	3918
16	64	3706
17	64	3513
18	64	3340
19	65	3186
20	65	3048
21	65	2917
22	66	2833
23	67	2729
24	67	2628
25	67	2535
26	67	2448
27	68	2368
28	68	2294
29	68	2229
30	69	2163
31	69	2105
32	69	2049
33	70	1995
34	70	1944
35	70	1897
36	71	1852
37	71	1809
38	71	1768
39	72	1731
40	72	1697
41	72	1662
42	73	1628
43	73	1596
44	73	1565
45	74	1535
46	74	1508
47	74	1481
48	75	1456
49	75	1431
50	75	1407
51	76	1385
52	76	1365
53	76	1344
54	77	1323
55	77	1303
56	77	1283
57	77	1265
58	78	1247
59	78	1229
60	78	1213
61	79	1198
62	79	1182
63	79	1167
64	80	1153
65	80	1139
66	80	1125
67	81	1113
68	81	1099
69	81	1086
70	82	1075
71	82	1063
72	82	1050
73	83	1039
74	83	1029
75	83	1018
76	84	1007
77	84	997
78	84	987
79	84	977
80	85	967
81	85	958
82	85	947
83	86	938
84	86	930
85	86	921
86	87	914
87	87	906
88	87	898
89	88	890
90	88	883
91	88	876
92	89	869
93	89	862
94	89	857
95	90	851
96	90	845
97	91	838
98	91	833
99	91	826
100	92	820
101	92	813
102	92	807
103	93	802
104	93	797
105	94	792
106	94	788
107	94	782
108	94	776
109	95	771
110	95	766
111	96	762
112	96	758
113	97	754
114	97	749
115	97	744
116	97	739
117	98	734
118	98	729
119	98	725
120	99	720
121	99	715
122	99	712
123	100	708
124	100	704
125	101	701
126	101	696
127	101	692
128	101	687
129	102	683
130	102	679
131	102	675
132	103	671
133	103	668
134	103	665
135	104	662
136	104	658
137	104	654
138	105	651
139	105	648
140	105	645
141	106	641
142	106	638
143	106	635
144	107	632
145	107	629
146	107	626
147	108	622
148	108	619
149	108	616
150	109	613
151	109	609
152	109	607
153	109	603
154	110	600
155	110	597
156	110	595
157	111	592
158	111	589
159	111	586
160	111	582
161	112	579
162	112	577
163	112	574
164	112	571
165	113	568
166	113	566
167	113	563
168	114	561
169	114	559
170	114	556
171	115	554
172	115	551
173	115	549
174	116	547
175	116	545
176	116	543
177	117	541
178	117	538
179	117	536
180	118	534
181	118	532
182	118	531
183	119	528
184	119	526
185	119	524
186	120	522
187	120	521
188	121	519
189	121	517
190	121	515
191	122	513
192	122	512
193	122	510
194	123	508
195	123	506
196	123	504
197	124	503
198	124	501
199	124	499
200	125	497
201	125	496
202	126	494
203	126	493
204	126	492
205	127	490
206	127	488
207	128	487
208	128	486
209	128	484
210	129	482
211	129	481
212	129	479
213	130	477
214	130	475
215	130	474
216	130	472
217	131	470
218	131	469
219	131	467
220	132	466
221	132	464
222	132	462
223	133	461
224	133	459
225	133	458
226	134	456
227	134	454
228	134	453
229	134	451
230	135	450
231	135	449
232	136	448
233	136	446
234	136	444
235	136	443
236	137	441
237	137	440
238	137	438
239	138	437
240	138	435
241	138	434
242	138	432
243	139	431
244	139	430
245	139	428
246	140	427
247	140	426
248	140	424
249	141	423
250	141	422
251	141	421
252	142	419
253	142	418
254	142	417
255	143	416
256	143	415
257	143	413
258	144	412
259	144	411
260	145	410
261	145	409
262	145	408
263	146	407
264	146	406
265	146	404
266	147	403
267	147	402
268	147	401
269	148	400
270	148	399
271	148	398
272	149	397
273	149	396
274	149	395
275	150	393
276	150	392
277	150	391
278	151	390
279	151	389
280	151	388
281	152	387
282	152	386
283	152	385
284	153	384
285	153	383
286	153	382
287	154	381
288	154	380
289	154	379
290	155	377
291	155	376
292	155	375
293	156	374
294	156	373
295	156	372
296	156	371
297	157	370
298	157	369
299	157	368
300	158	367
301	158	366
302	158	365
303	159	364
304	159	363
305	159	362
306	160	361
307	160	360
308	160	359
309	160	358
310	161	357
311	161	356
312	161	355
313	162	354
314	162	353
315	162	352
316	163	351
317	163	350
318	163	349
319	164	348
320	164	347
321	164	347
322	165	346
323	165	345
324	165	344
325	166	343
326	166	342
327	166	341
328	167	341
329	167	340
330	167	339
331	168	338
332	168	337
333	168	336
334	169	335
335	169	335
336	169	334
337	170	333
338	170	332
339	170	331
340	171	330
341	171	330
342	171	329
343	172	328
344	172	327
345	173	327
346	173	326
347	173	325
348	174	324
349	174	324
350	174	323
351	175	322
352	175	321
353	175	320
354	176	320
355	176	319
356	176	318
357	177	317
358	177	316
359	177	315
360	178	315
361	178	314
362	178	313
363	179	312
364	179	312
365	179	311
366	179	310
367	180	309
368	180	308
369	180	307
370	181	307
371	181	306
372	181	305
373	181	304
374	182	303
375	182	302
376	182	302
377	183	301
378	183	300
379	183	299
380	183	298
381	184	297
382	184	297
383	184	296
384	184	295
385	185	294
386	185	293
387	185	293
388	186	292
389	186	291
390	186	290
391	186	289
392	187	289
393	187	288
394	187	287
395	187	286
396	188	285
397	188	285
398	188	284
399	188	283
400	189	282
401	189	281
402	189	281
403	190	280
404	190	279
405	190	278
406	190	278
407	191	277
408	191	276
409	191	275
410	191	275
411	192	274
412	192	273
413	192	272
