iter	Passed	Remaining
0	57	57667
1	58	29041
2	58	19445
3	58	14665
4	59	11787
5	59	9877
6	60	8512
7	60	7473
8	60	6675
9	61	6040
10	61	5518
11	61	5078
12	62	4718
13	62	4406
14	62	4131
15	63	3889
16	63	3673
17	63	3482
18	64	3318
19	64	3168
20	65	3031
21	65	2908
22	65	2791
23	66	2684
24	66	2587
25	66	2496
26	66	2410
27	67	2332
28	67	2259
29	67	2193
30	68	2136
31	68	2079
32	69	2025
33	69	1974
34	69	1923
35	70	1875
36	70	1830
37	70	1787
38	70	1746
39	71	1710
40	71	1676
41	71	1642
42	72	1608
43	72	1576
44	72	1546
45	73	1517
46	73	1489
47	73	1463
48	74	1439
49	74	1416
50	74	1393
51	75	1370
52	75	1348
53	75	1327
54	76	1306
55	76	1286
56	76	1266
57	76	1248
58	77	1230
59	77	1212
60	77	1196
61	77	1179
62	78	1163
63	78	1148
64	78	1133
65	79	1119
66	79	1105
67	79	1091
68	79	1078
69	80	1065
70	80	1052
71	80	1040
72	81	1028
73	81	1018
74	81	1008
75	82	997
76	82	986
77	82	977
78	83	968
79	83	958
80	83	948
81	83	939
82	84	928
83	84	920
84	84	911
85	84	902
86	85	895
87	85	888
88	86	881
89	86	875
90	86	868
91	87	861
92	87	854
93	87	846
94	88	839
95	88	832
96	88	825
97	88	818
98	89	813
99	89	807
100	89	800
101	90	794
102	90	789
103	90	783
104	91	778
105	91	772
106	91	767
107	92	761
108	92	755
109	92	750
110	93	745
111	93	739
112	93	735
113	94	731
114	94	726
115	94	721
116	94	716
117	95	711
118	95	706
119	95	702
120	96	698
121	96	693
122	96	689
123	97	685
124	97	682
125	97	678
126	98	674
127	98	670
128	98	667
129	99	663
130	99	659
131	99	656
132	100	652
133	100	649
134	100	646
135	101	642
136	101	640
137	101	636
138	102	634
139	102	630
140	103	627
141	103	623
142	103	620
143	103	617
144	104	614
145	104	611
146	104	608
147	105	605
148	105	603
149	105	600
150	106	597
151	106	595
152	107	592
153	107	589
154	107	587
155	108	585
156	108	583
157	109	581
158	109	578
159	109	576
160	109	573
161	110	570
162	110	567
163	110	565
164	111	563
165	111	561
166	111	558
167	112	556
168	112	553
169	113	551
170	113	549
171	113	547
172	114	545
173	114	542
174	114	540
175	114	538
176	115	536
177	115	534
178	116	532
179	116	530
180	116	528
181	117	526
182	117	524
183	117	522
184	118	520
185	118	518
186	118	516
187	119	514
188	119	512
189	119	510
190	120	508
191	120	506
192	120	504
193	121	502
194	121	501
195	121	500
196	122	498
197	122	497
198	122	495
199	123	493
200	123	492
201	124	491
202	124	489
203	125	488
204	125	486
205	125	485
206	126	483
207	126	482
208	127	481
209	127	480
210	127	478
211	128	476
212	128	475
213	129	474
214	129	472
215	129	470
216	130	469
217	130	467
218	130	466
219	131	464
220	131	463
221	132	464
222	132	463
223	133	461
224	133	460
225	133	458
226	134	457
227	134	455
228	134	454
229	135	452
230	135	451
231	135	449
232	136	448
233	136	447
234	137	446
235	137	444
236	137	443
237	138	442
238	138	440
239	138	439
240	139	437
241	139	436
242	139	435
243	140	434
244	140	433
245	140	432
246	141	431
247	142	430
248	142	429
249	142	428
250	143	427
251	143	426
252	143	425
253	144	423
254	144	422
255	144	421
256	145	419
257	145	419
258	146	418
259	146	416
260	146	415
261	147	414
262	147	413
263	147	412
264	148	411
265	148	410
266	148	408
267	149	407
268	149	406
269	149	405
270	150	404
271	150	403
272	150	402
273	151	401
274	151	399
275	151	398
276	152	397
277	152	396
278	152	395
279	153	394
280	153	392
281	153	391
282	154	390
283	154	389
284	154	388
285	155	387
286	155	386
287	155	385
288	156	384
289	156	383
290	156	382
291	157	381
292	157	380
293	158	379
294	158	378
295	158	377
296	159	376
297	159	375
298	159	374
299	160	373
300	160	372
301	160	371
302	161	370
303	161	369
304	161	368
305	162	367
306	162	366
307	162	365
308	163	365
309	163	364
310	164	363
311	164	362
312	164	361
313	165	360
314	165	360
315	166	359
316	166	358
317	166	357
318	167	356
319	167	356
320	167	355
321	168	354
322	168	353
323	168	352
324	169	351
325	169	350
326	170	350
327	170	349
328	170	348
329	171	347
330	171	346
331	171	346
332	172	345
333	172	344
334	173	343
335	173	342
336	173	341
337	174	341
338	174	340
339	175	339
